type_name,actual_gid
Platform::Objects::ConvertedNoteToIssueEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/converted_note_to_issue_event/{converted_note_to_issue_event_id}
Platform::Objects::DisconnectedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/disconnected_event/{disconnected_event_id}
Platform::Objects::MarkedAsDuplicateEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/marked_as_duplicate_event/{marked_as_duplicate_event_id}
Platform::Objects::MentionedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/mentioned_event/{mentioned_id}
Platform::Objects::MovedColumnsInProjectEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/moved_columns_in_project_event/{moved_columns_in_project_id}
Platform::Objects::PinnedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/pinned_event/{pinned_id}
Platform::Objects::RemovedFromProjectEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/removed_from_project_event/{removed_from_project_id}
Platform::Objects::TransferredEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/transferred_event/{transferred_id}
Platform::Objects::UnmarkedAsDuplicateEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/unmarked_as_duplicate_event/{unmarked_as_duplicate_id}
Platform::Objects::UnpinnedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/unpinned_event/{unpinned_event_id}
Platform::Objects::Push,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/push/{push_id}
Platform::Objects::StatusCheckRollup,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/status_check_rollup/{status_check_rollup_id}
Platform::Objects::Epoch,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/epoch/{epoch_id}
Platform::Objects::EpochOperation,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/epoch_operation/{epoch_operation_id}
Platform::Objects::BranchProtectionRule,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/branch_protection_rule/{branch_protection_rule_id}
Platform::Objects::ReviewDismissalAllowance,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/branch_protection_rule/{branch_protection_rule_id}/review_dismissal_allowance/{review_dismissal_allowance_id}
